lastgroup	link1	link2	link3	link4	link5	linkother	q01gndr	q02yrbrn	q03empsts	q06firmsize	q07indust	q08prof	q09wtime	q10currenttime	q11reason	q12office	q13support	q14partner	q20sat11	q20sat12	q20sat13	q20sat14	q20sat15	q20sat16	q20sat17	q20sat21	q20sat22	q20sat23	q20sat24	q20sat25	q20sat26	q20sat27	q21concern11	q21concern12	q21concern21	q21concern22	q23land	q24townsize	q25hhsize	q26flatsize	q27educ	q28migr	q34hhinc	surveyday	female	age	agegr	edu	ctr	selfempl	sysjob	homeoffice	homeoffice_det	parent	fam	nrchildren	youngestcat	childcare	wohnsit	hhinc
10	.c	1	.c	.c	.c			1984	1	.c	.c	1	2	2	.a	2	.c	0	4	.a	1	.a	3	.c	2	3	.a	3	.a	7	.c	2	2	6	3	7	3	2	1	1	4	1	3	1	1	36	4	3	1	0	0	1	1	0	1	0	.a		1	3
10	.c	1	.c	.c	.c		2	1977	1	3	10	1	4	2	.a	2	5	0	5	.a	1	.a	2	.c	3	6	.a	4	.a	5	.c	5	7	7	7	7	3	2	1	2	4	1	1	1	1	43	4	3	2	0	0	1	1	0	1	0	.a		2	1
10	1	.c	.c	.c	.c		1	1953	0	.a	.a	.a	.a	.a	.a	.a	.a	0	.a	.a	3	.a	6	7	5	.a	.a	7	.a	6	7	6	5	.a	7	.a	3	2	1	2	4	2	1	1	0	67	7	3	.a	.a	.a	.a	.a	0	1	0	.a		2	1
10	.c	.c	1	.c	.c		1	1961	0	.a	.a	.a	.a	.a	.a	.a	.a	0	.a	.a	4	.a	6	6	6	.a	.a	4	.a	6	5	6	5	.a	5	.a	7	2	1	3	1	1	2	1	0	59	6	1	.a	.a	.a	.a	.a	0	1	0	.a		3	2
10	1	.c	.c	.c	.c		2	1982	1	3	7	1	4	2	.a	2	5	1	4	5	6	4	5	5	6	4	5	6	4	5	5	5	7	7	7	7	3	2	4	4	4	1	1	1	1	38	4	3	1	0	0	1	1	1	3	2	2	2	3	1
10	.c	.c	1	.c	.c		2	1966	1	2	9	6	3	4	5	.a	7	1	4	6	4	4	4	4	5	6	6	6	4	5	4	6	6	6	6	6	15	1	3	9	3	1	1	1	1	54	5	2	1	0	1	.a	3	0	2	0	.a		3	1
10	.c	.c	1	.c	.c		2	1987	1	3	7	5	4	1	.a	2	6	1	2	7	6	7	6	6	5	2	7	6	7	7	5	6	6	7	7	7	5	2	4	5	4	1	.c	1	1	33	3	3	1	0	1	1	1	0	2	0	.a		3	.c
10	1	.c	.c	.c	.c		2	1961	1	2	9	8	3	4	0	.a	3	1	3	4	5	5	5	6	5	5	5	5	5	6	4	5	2	7	7	7	15	1	2	3	.c	1	1	1	1	59	6	.c	1	0	1	.a	3	0	2	0	.a		3	1
10	.c	.c	1	.c	.c		2	2003	.c	.a	.a	.a	.a	.a	.a	.a	.a	.c	.a	.a	5	.a	3	5	5	.a	.a	5	.a	6	5	5	7	.a	7	.a	7	.c	5	8	.c	1	1	1	1	17	1	.c	.a	.a	.a	.a	.a			.a			1	1
10	.c	.c	1	.c	.c		2	1983	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	5	5	5	3	5	6	.a	6	6	5	6	5	6	7	.a	7	.a	10	2	4	4	4	1	1	1	1	37	4	3	.a	.a	.a	.a	.a	1	3	2	1	1	3	1
10	.c	.c	1	.c	.c		2	1990	1	3	7	1	4	2	.a	2	3	.c	4	.a	4	.a	5	4	5	5	.a	5	.a	7	4	6	2	5	3	4	3	2	2	3	4	2	1	1	1	30	3	3	2	0	0	1	1			.a			2	1
10	.c	.c	1	.c	.c		1	1982	1	3	7	1	4	3	.a	2	5	1	3	4	5	5	5	3	2	4	5	6	5	5	5	5	5	7	.c	4	10	2	4	4	4	1	1	1	0	38	4	3	2	0	0	1	1			.a			2	1
10	.c	1	.c	.c	.c		77	1987	1	3	10	1	4	2	.a	2	7	1	5	6	6	4	5	.c	5	6	5	3	4	4	.c	6	6	6	6	6	3	2	3	4	4	1	1	1	1	33	3	3	2	0	0	1	1	0	2	0	.a		3	1
10	1	.c	.c	.c	.c		1	1989	1	1	3	1	4	2	.a	2	6	1	4	6	5	3	3	2	2	3	4	4	3	4	4	4	1	2	3	6	3	2	3	2	4	3	3	1	0	31	3	3	1	0	0	1	1	1	3	1	1	1	1	3
